HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.turn_id,Input.Q0,Input.passage_id,Input.relevance_score,Input.passage,Input.labels,Input.query,Answer.taskAnswers,Approve,Reject,text_spans_2
3RIHDBQ1OID1XEO6Q0ZMFQ99W6PHMH,3X2GEGK7X6EB74KOZHKOKNCXKFS44V,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 22:40:51 PDT 2023,1,BatchId:5074755;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 22:40:51 PDT 2023,,,3I33IC7ZWKHZ37AT0EBC8F4YQ7TA2O,worker_232,Submitted,Mon May 15 22:46:10 PDT 2023,Mon May 15 22:51:47 PDT 2023,Thu May 18 22:51:47 PDT 2023,,,,337,100% (30/30),100% (1/1),100% (1/1),82_1,0,CAR_11a62de61f9acb61e79afcc17bc051aebeea4f8e,3,"One of the key issues concerning regulators is whether GM products should be labeled. Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. In Canada and the United States labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled. Japan, Malaysia, New Zealand, and Australia require labeling so consumers can exercise choice between foods that have genetically modified, conventional or organic origins.",,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":193,""label"":""relevant-text-span"",""startOffset"":86},{""endOffset"":325,""label"":""relevant-text-span"",""startOffset"":238},{""endOffset"":391,""label"":""relevant-text-span"",""startOffset"":330},{""endOffset"":520,""label"":""relevant-text-span"",""startOffset"":399},{""endOffset"":628,""label"":""relevant-text-span"",""startOffset"":521}]}}]",x,,"['Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary.', 'South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%', 'Canada and the United States labeling of GM food is voluntary', 'in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.', 'Japan, Malaysia, New Zealand, and Australia require labeling so consumers can exercise choice between foods']"
3T5ZXGO9EI3E9EMSOFCAW6XJ1WEZQK,3SBFCXF7YFYNG6389NQ7FFVO48Q4WG,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 01:26:20 PDT 2023,3,BatchId:5074127;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 01:26:20 PDT 2023,,,3ITXP059P1Y39ZUVOZ3VSWKLDIJSJ9,worker_119,Submitted,Mon May 15 08:45:31 PDT 2023,Mon May 15 08:52:18 PDT 2023,Thu May 18 08:52:18 PDT 2023,,,,407,99% (92/93),100% (1/1),100% (1/1),82_1,0,CAR_11a62de61f9acb61e79afcc17bc051aebeea4f8e,3,"One of the key issues concerning regulators is whether GM products should be labeled. Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. In Canada and the United States labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled. Japan, Malaysia, New Zealand, and Australia require labeling so consumers can exercise choice between foods that have genetically modified, conventional or organic origins.",,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":193,""label"":""relevant-text-span"",""startOffset"":86},{""endOffset"":326,""label"":""relevant-text-span"",""startOffset"":194},{""endOffset"":520,""label"":""relevant-text-span"",""startOffset"":327},{""endOffset"":693,""label"":""relevant-text-span"",""startOffset"":521}]}}]",x,,"['Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary.', 'A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%.', 'In Canada and the United States labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.', 'Japan, Malaysia, New Zealand, and Australia require labeling so consumers can exercise choice between foods that have genetically modified, conventional or organic origins.']"
3T5ZXGO9EI3E9EMSOFCAW6XJ1WEZQK,3SBFCXF7YFYNG6389NQ7FFVO48Q4WG,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 01:26:20 PDT 2023,3,BatchId:5074127;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 01:26:20 PDT 2023,,,3MMN5BL1W4JPQQF11HFM0G4QPV43MJ,worker_249,Submitted,Mon May 15 06:34:23 PDT 2023,Mon May 15 06:37:03 PDT 2023,Thu May 18 06:37:03 PDT 2023,,,,160,100% (4/4),100% (1/1),100% (1/1),82_1,0,CAR_11a62de61f9acb61e79afcc17bc051aebeea4f8e,3,"One of the key issues concerning regulators is whether GM products should be labeled. Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. In Canada and the United States labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled. Japan, Malaysia, New Zealand, and Australia require labeling so consumers can exercise choice between foods that have genetically modified, conventional or organic origins.",,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":192,""label"":""relevant-text-span"",""startOffset"":86},{""endOffset"":325,""label"":""relevant-text-span"",""startOffset"":194},{""endOffset"":391,""label"":""relevant-text-span"",""startOffset"":327},{""endOffset"":519,""label"":""relevant-text-span"",""startOffset"":399},{""endOffset"":692,""label"":""relevant-text-span"",""startOffset"":521}]}}]",x,,"['Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary', 'A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%', 'In Canada and the United States labeling of GM food is voluntary', 'in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled', 'Japan, Malaysia, New Zealand, and Australia require labeling so consumers can exercise choice between foods that have genetically modified, conventional or organic origins']"
3IKMEYR0M0A2S0LLM3JZD9B3IICK2X,3X2GEGK7X6EB74KOZHKOKNCXKFS44V,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 22:40:51 PDT 2023,1,BatchId:5074755;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 22:40:51 PDT 2023,,,3QEMNNSB22E4NFABQ0J9U7TCMQE7D5,worker_232,Submitted,Mon May 15 22:53:29 PDT 2023,Mon May 15 23:10:32 PDT 2023,Thu May 18 23:10:32 PDT 2023,,,,1023,100% (30/30),100% (1/1),100% (1/1),82_1,0,CAR_127c8f0e34a6b25f92f6e8c089fa4a79620d381c,3,"One of the key issues concerning regulators is whether GM products should be labeled. Labeling of GMO products in the marketplace is required in 64 countries.  Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. In Canada and the USA labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.",,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":157,""label"":""relevant-text-span"",""startOffset"":85},{""endOffset"":268,""label"":""relevant-text-span"",""startOffset"":160},{""endOffset"":401,""label"":""relevant-text-span"",""startOffset"":268},{""endOffset"":455,""label"":""relevant-text-span"",""startOffset"":401},{""endOffset"":584,""label"":""relevant-text-span"",""startOffset"":463}]}}]",x,,"[' Labeling of GMO products in the marketplace is required in 64 countries', 'Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. ', 'A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. ', 'In Canada and the USA labeling of GM food is voluntary', 'in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.']"
3EFNPKWBNW3P0SA0MANMDZ1M9XI30U,3SBFCXF7YFYNG6389NQ7FFVO48Q4WG,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 01:26:20 PDT 2023,3,BatchId:5074127;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 01:26:20 PDT 2023,,,3Q5ZZ9ZEVTUDJG01LZTWAV1FJMJ580,worker_119,Submitted,Mon May 15 07:15:41 PDT 2023,Mon May 15 07:18:18 PDT 2023,Thu May 18 07:18:18 PDT 2023,,,,157,99% (92/93),100% (1/1),100% (1/1),82_1,0,CAR_127c8f0e34a6b25f92f6e8c089fa4a79620d381c,3,"One of the key issues concerning regulators is whether GM products should be labeled. Labeling of GMO products in the marketplace is required in 64 countries.  Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. In Canada and the USA labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.",,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":158,""label"":""relevant-text-span"",""startOffset"":86},{""endOffset"":267,""label"":""relevant-text-span"",""startOffset"":160},{""endOffset"":400,""label"":""relevant-text-span"",""startOffset"":268},{""endOffset"":584,""label"":""relevant-text-span"",""startOffset"":401}]}}]",x,,"['Labeling of GMO products in the marketplace is required in 64 countries.', 'Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary.', 'A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%.', 'In Canada and the USA labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.']"
3EFNPKWBNW3P0SA0MANMDZ1M9XI30U,3SBFCXF7YFYNG6389NQ7FFVO48Q4WG,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 01:26:20 PDT 2023,3,BatchId:5074127;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 01:26:20 PDT 2023,,,3U4J9857OJQB8ICRC4S3ZH5CIXUB7D,worker_249,Submitted,Mon May 15 05:09:26 PDT 2023,Mon May 15 05:25:33 PDT 2023,Thu May 18 05:25:33 PDT 2023,,,,967,100% (4/4),100% (1/1),100% (1/1),82_1,0,CAR_127c8f0e34a6b25f92f6e8c089fa4a79620d381c,3,"One of the key issues concerning regulators is whether GM products should be labeled. Labeling of GMO products in the marketplace is required in 64 countries.  Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. A study investigating voluntary labeling in South Africa found that 31% of products labeled as GMO-free had a GM content above 1.0%. In Canada and the USA labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.",,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":158,""label"":""relevant-text-span"",""startOffset"":86},{""endOffset"":268,""label"":""relevant-text-span"",""startOffset"":160},{""endOffset"":584,""label"":""relevant-text-span"",""startOffset"":400}]}}]",x,,"['Labeling of GMO products in the marketplace is required in 64 countries.', 'Labeling can be mandatory up to a threshold GM content level (which varies between countries) or voluntary. ', ' In Canada and the USA labeling of GM food is voluntary, while in Europe all food (including processed food) or feed which contains greater than 0.9% of approved GMOs must be labelled.']"
3D17ECOUPIAP7HVIITRMR4KWEPO31X,3SBFCXF7YFYNG6389NQ7FFVO48Q4WG,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 01:26:20 PDT 2023,3,BatchId:5074127;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 01:26:20 PDT 2023,,,323Q6SJS8NVYEOUJUF0B9KLRCARFHZ,worker_119,Submitted,Tue May 16 06:44:45 PDT 2023,Tue May 16 06:49:37 PDT 2023,Fri May 19 06:49:37 PDT 2023,,,,292,99% (92/93),100% (1/1),100% (1/1),82_1,0,MARCO_2085065,3,"Reply. Hi Jay, Here's a link to our Wegmans Organic Mayo page on our product catalog. Under the Details' tab, you'll find the full list of ingredients. This is also the page where you'll find nutrition facts and other label information.t does cost considerably more than our conventional Wegmans mayo, $3.49 for a pint jar. It is USDA certified organic, so all ingredients have to be certified organic. That means no synthetic pesticide, fertilizer, GMOs.",,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[]}}]",,Chosen text spans are too long (longer than half of the passage). The requirements say that text spans should be concise and as short as possible.,[]
3D17ECOUPIAP7HVIITRMR4KWEPO31X,3SBFCXF7YFYNG6389NQ7FFVO48Q4WG,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 01:26:20 PDT 2023,3,BatchId:5074127;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 01:26:20 PDT 2023,,,3P1L2B7AD64U6XQ2K3YZO6NCKJ9LOX,worker_232,Submitted,Mon May 15 10:07:48 PDT 2023,Mon May 15 10:08:55 PDT 2023,Thu May 18 10:08:55 PDT 2023,,,,67,100% (30/30),100% (1/1),100% (1/1),82_1,0,MARCO_2085065,3,"Reply. Hi Jay, Here's a link to our Wegmans Organic Mayo page on our product catalog. Under the Details' tab, you'll find the full list of ingredients. This is also the page where you'll find nutrition facts and other label information.t does cost considerably more than our conventional Wegmans mayo, $3.49 for a pint jar. It is USDA certified organic, so all ingredients have to be certified organic. That means no synthetic pesticide, fertilizer, GMOs.",,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":455,""label"":""relevant-text-span"",""startOffset"":324}]}}]",x,,"['It is USDA certified organic, so all ingredients have to be certified organic. That means no synthetic pesticide, fertilizer, GMOs.']"
3D17ECOUPIAP7HVIITRMR4KWEPO31X,3SBFCXF7YFYNG6389NQ7FFVO48Q4WG,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 01:26:20 PDT 2023,3,BatchId:5074127;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 01:26:20 PDT 2023,,,3H8DHMCCWEQSIUHV9U8IYCYYR3ZKDU,worker_249,Submitted,Mon May 15 06:37:03 PDT 2023,Mon May 15 06:39:29 PDT 2023,Thu May 18 06:39:29 PDT 2023,,,,146,100% (4/4),100% (1/1),100% (1/1),82_1,0,MARCO_2085065,3,"Reply. Hi Jay, Here's a link to our Wegmans Organic Mayo page on our product catalog. Under the Details' tab, you'll find the full list of ingredients. This is also the page where you'll find nutrition facts and other label information.t does cost considerably more than our conventional Wegmans mayo, $3.49 for a pint jar. It is USDA certified organic, so all ingredients have to be certified organic. That means no synthetic pesticide, fertilizer, GMOs.",,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":455,""label"":""relevant-text-span"",""startOffset"":324}]}}]",x,,"['It is USDA certified organic, so all ingredients have to be certified organic. That means no synthetic pesticide, fertilizer, GMOs.']"
3A3KKYU7Q7WJU4JVLZLMGTJWBU2MWM,3X2GEGK7X6EB74KOZHKOKNCXKFS44V,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Mon May 15 22:40:51 PDT 2023,1,BatchId:5074755;OriginalHitTemplateId:929448123;,10800,259200,Thu May 18 22:40:51 PDT 2023,,,3QJOXOW4XO6S0OVYQ1WIJ78NHRAMEO,worker_232,Submitted,Mon May 15 22:53:25 PDT 2023,Mon May 15 23:08:24 PDT 2023,Thu May 18 23:08:24 PDT 2023,,,,899,100% (30/30),100% (1/1),100% (1/1),82_1,0,MARCO_5055324,2,"The U.S. Food and Drug Administration has tested all the GMOs on the market to determine whether they are toxic or allergenic. They are not. (The GMO-fearing can seek out 100 Percent Organic products, indicating that a food contains no genetically modified ingredients, among other requirements.).Many people argue for GMO labels in the name of increased consumer choice. On the contrary, such labels have limited people's options.In 1997, a time of growing opposition to GMOs in Europe, the E.U. began to require them.The GMO-fearing can seek out 100 Percent Organic products, indicating that a food contains no genetically modified ingredients, among other requirements.). Many people argue for GMO labels in the name of increased consumer choice. On the contrary, such labels have limited people's options.",0.0,I would like to learn about GMO Food labeling.,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":371,""label"":""relevant-text-span"",""startOffset"":297},{""endOffset"":431,""label"":""relevant-text-span"",""startOffset"":371}]}}]",x,,"['Many people argue for GMO labels in the name of increased consumer choice.', "" On the contrary, such labels have limited people's options.""]"
