HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.turn_id,Input.Q0,Input.passage_id,Input.relevance_score,Input.passage,Input.labels,Input.query,Answer.taskAnswers,Approve,Reject,text_spans_2
34KYK9TV3VNU4WYPA5LC5O5HTKISB8,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,3COPXFW7XGR17RKLE3ZDY6FN7UFPK8,worker_119,Submitted,Fri May 19 14:29:43 PDT 2023,Fri May 19 14:31:30 PDT 2023,Mon May 22 14:31:30 PDT 2023,,,,107,100% (270/271),100% (179/179),100% (178/178),104_1,0,CAR_2564e6dfc8f5f799e30393abc532775e8886e415,3,"In a paper to be published in proceedings the 2010 ACM Special Interest Group on Information Retrieval Conference, White and Horvitz present research on predicting escalations in medical concerns based on the structure and content of Web pages encountered during medical search sessions. They construct and then characterize the performance of classifiers that predict whether an escalation will occur in issued queries following the visit to a page. Their findings show that features such as serious illness preceding benign explanations in page (e.g., cancer is mentioned before caffeine in pages pertaining to headaches), serious illness vs. benign explanation appears in page title or near beginning of page, page from Web forum, and page has external verification are all important predictors of subsequent escalation (or non-escalation).",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":120,""label"":""relevant-text-span"",""startOffset"":115},{""endOffset"":132,""label"":""relevant-text-span"",""startOffset"":125}]}}]",x,,"['White', 'Horvitz']"
34KYK9TV3VNU4WYPA5LC5O5HTKISB8,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,3TK8OJTYM60FN2EXD7DK0FQ4NTCVPS,worker_232,Submitted,Fri May 19 18:45:19 PDT 2023,Fri May 19 18:56:40 PDT 2023,Mon May 22 18:56:40 PDT 2023,,,,681,100% (208/208),100% (179/179),100% (178/178),104_1,0,CAR_2564e6dfc8f5f799e30393abc532775e8886e415,3,"In a paper to be published in proceedings the 2010 ACM Special Interest Group on Information Retrieval Conference, White and Horvitz present research on predicting escalations in medical concerns based on the structure and content of Web pages encountered during medical search sessions. They construct and then characterize the performance of classifiers that predict whether an escalation will occur in issued queries following the visit to a page. Their findings show that features such as serious illness preceding benign explanations in page (e.g., cancer is mentioned before caffeine in pages pertaining to headaches), serious illness vs. benign explanation appears in page title or near beginning of page, page from Web forum, and page has external verification are all important predictors of subsequent escalation (or non-escalation).",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":287,""label"":""relevant-text-span"",""startOffset"":115}]}}]",x,,['White and Horvitz present research on predicting escalations in medical concerns based on the structure and content of Web pages encountered during medical search sessions.']
34KYK9TV3VNU4WYPA5LC5O5HTKISB8,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,3137ONMDKLKS8EZCFYYN62OQM5QEG1,worker_249,Submitted,Fri May 19 08:23:30 PDT 2023,Fri May 19 08:24:18 PDT 2023,Mon May 22 08:24:18 PDT 2023,,,,48,100% (194/194),100% (191/191),100% (190/190),104_1,0,CAR_2564e6dfc8f5f799e30393abc532775e8886e415,3,"In a paper to be published in proceedings the 2010 ACM Special Interest Group on Information Retrieval Conference, White and Horvitz present research on predicting escalations in medical concerns based on the structure and content of Web pages encountered during medical search sessions. They construct and then characterize the performance of classifiers that predict whether an escalation will occur in issued queries following the visit to a page. Their findings show that features such as serious illness preceding benign explanations in page (e.g., cancer is mentioned before caffeine in pages pertaining to headaches), serious illness vs. benign explanation appears in page title or near beginning of page, page from Web forum, and page has external verification are all important predictors of subsequent escalation (or non-escalation).",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":121,""label"":""relevant-text-span"",""startOffset"":114},{""endOffset"":133,""label"":""relevant-text-span"",""startOffset"":125}]}}]",x,,"[' White ', 'Horvitz ']"
3N3WJQXEMW5DC63373V0S9OI7KXL2L,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,34X6J5FLPYDRWJFIWVEQXW5KX12QJ2,worker_119,Submitted,Fri May 19 14:41:58 PDT 2023,Fri May 19 14:43:53 PDT 2023,Mon May 22 14:43:53 PDT 2023,,,,115,100% (270/271),100% (179/179),100% (178/178),104_1,0,CAR_3fbea6438e17d2872370fd2ab22a9a1deb25205d,4,"Wherever there have been large collections of information, whether on paper or in computers, scholars have faced a challenge in pinpointing the items they seek. The use of classification schemes to arrange the documents in order was only a partial solution. Another approach was to index the contents of the documents using words or terms, rather than classification codes. In the 1940s and 1950s some pioneers, such as Calvin Mooers, Charles L. Bernier, Evan J. Crane and Hans Peter Luhn, collected up their index terms in various kinds of list that they called a “thesaurus” (by analogy with the well known thesaurus developed by Peter Roget). The first such list put seriously to use in information retrieval was the thesaurus developed in 1959 at the E I Dupont de Nemours Company.",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":433,""label"":""relevant-text-span"",""startOffset"":420},{""endOffset"":453,""label"":""relevant-text-span"",""startOffset"":435},{""endOffset"":468,""label"":""relevant-text-span"",""startOffset"":455},{""endOffset"":488,""label"":""relevant-text-span"",""startOffset"":473}]}}]",x,,"['Calvin Mooers', 'Charles L. Bernier', 'Evan J. Crane', 'Hans Peter Luhn']"
3N3WJQXEMW5DC63373V0S9OI7KXL2L,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,3B837J3LDTBK7ND8W4C4UN6CP76SRC,worker_232,Submitted,Fri May 19 18:45:06 PDT 2023,Fri May 19 18:48:43 PDT 2023,Mon May 22 18:48:43 PDT 2023,,,,217,100% (208/208),100% (179/179),100% (178/178),104_1,0,CAR_3fbea6438e17d2872370fd2ab22a9a1deb25205d,4,"Wherever there have been large collections of information, whether on paper or in computers, scholars have faced a challenge in pinpointing the items they seek. The use of classification schemes to arrange the documents in order was only a partial solution. Another approach was to index the contents of the documents using words or terms, rather than classification codes. In the 1940s and 1950s some pioneers, such as Calvin Mooers, Charles L. Bernier, Evan J. Crane and Hans Peter Luhn, collected up their index terms in various kinds of list that they called a “thesaurus” (by analogy with the well known thesaurus developed by Peter Roget). The first such list put seriously to use in information retrieval was the thesaurus developed in 1959 at the E I Dupont de Nemours Company.",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":576,""label"":""relevant-text-span"",""startOffset"":376}]}}]",x,,"[' the 1940s and 1950s some pioneers, such as Calvin Mooers, Charles L. Bernier, Evan J. Crane and Hans Peter Luhn, collected up their index terms in various kinds of list that they called a thesaurus']"
3N3WJQXEMW5DC63373V0S9OI7KXL2L,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,3MX2NQ3YCE93YH19T75OQUI8C2N5XJ,worker_249,Submitted,Fri May 19 08:21:39 PDT 2023,Fri May 19 08:23:27 PDT 2023,Mon May 22 08:23:27 PDT 2023,,,,108,100% (194/194),100% (191/191),100% (190/190),104_1,0,CAR_3fbea6438e17d2872370fd2ab22a9a1deb25205d,4,"Wherever there have been large collections of information, whether on paper or in computers, scholars have faced a challenge in pinpointing the items they seek. The use of classification schemes to arrange the documents in order was only a partial solution. Another approach was to index the contents of the documents using words or terms, rather than classification codes. In the 1940s and 1950s some pioneers, such as Calvin Mooers, Charles L. Bernier, Evan J. Crane and Hans Peter Luhn, collected up their index terms in various kinds of list that they called a “thesaurus” (by analogy with the well known thesaurus developed by Peter Roget). The first such list put seriously to use in information retrieval was the thesaurus developed in 1959 at the E I Dupont de Nemours Company.",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":433,""label"":""relevant-text-span"",""startOffset"":420},{""endOffset"":453,""label"":""relevant-text-span"",""startOffset"":435},{""endOffset"":468,""label"":""relevant-text-span"",""startOffset"":454},{""endOffset"":488,""label"":""relevant-text-span"",""startOffset"":473},{""endOffset"":643,""label"":""relevant-text-span"",""startOffset"":632}]}}]",x,,"['Calvin Mooers', 'Charles L. Bernier', ' Evan J. Crane', 'Hans Peter Luhn', 'Peter Roget']"
37SOB9Z0TWC2XOZMB395BJTADYXL3W,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,31QTRG6Q2YSWRW92II047EUY596YPU,worker_119,Submitted,Fri May 19 11:14:34 PDT 2023,Fri May 19 11:28:49 PDT 2023,Mon May 22 11:28:49 PDT 2023,,,,855,100% (270/271),100% (179/179),100% (178/178),104_1,0,CAR_89b60de1e4179304c422dce672387e3ba88620aa,3,"Because of its emphasis in using human intelligence in the information retrieval process, HCIR requires different evaluation models – one that combines evaluation of the IR and HCI components of the system. A key area of research in HCIR involves evaluation of these systems. Early work on interactive information retrieval, such as Juergen Koenemann and Nicholas J. Belkin's 1996 study of different levels of interaction for automatic query reformulation, leverage the standard IR measures of precision and recall but apply them to the results of multiple iterations of user interaction, rather than to a single query response. Other HCIR research, such as Pia Borlund's IIR evaluation model, applies a methodology more reminiscent of HCI, focusing on the characteristics of users, the details of experimental design, etc.",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":350,""label"":""relevant-text-span"",""startOffset"":333},{""endOffset"":373,""label"":""relevant-text-span"",""startOffset"":355},{""endOffset"":669,""label"":""relevant-text-span"",""startOffset"":658}]}}]",x,,"['Juergen Koenemann', 'Nicholas J. Belkin', 'Pia Borlund']"
37SOB9Z0TWC2XOZMB395BJTADYXL3W,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,336KAV9KYV70ZP8WGKPSB1M5U0MY2H,worker_232,Submitted,Fri May 19 18:45:05 PDT 2023,Fri May 19 18:48:21 PDT 2023,Mon May 22 18:48:21 PDT 2023,,,,196,100% (208/208),100% (179/179),100% (178/178),104_1,0,CAR_89b60de1e4179304c422dce672387e3ba88620aa,3,"Because of its emphasis in using human intelligence in the information retrieval process, HCIR requires different evaluation models – one that combines evaluation of the IR and HCI components of the system. A key area of research in HCIR involves evaluation of these systems. Early work on interactive information retrieval, such as Juergen Koenemann and Nicholas J. Belkin's 1996 study of different levels of interaction for automatic query reformulation, leverage the standard IR measures of precision and recall but apply them to the results of multiple iterations of user interaction, rather than to a single query response. Other HCIR research, such as Pia Borlund's IIR evaluation model, applies a methodology more reminiscent of HCI, focusing on the characteristics of users, the details of experimental design, etc.",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":455,""label"":""relevant-text-span"",""startOffset"":276},{""endOffset"":692,""label"":""relevant-text-span"",""startOffset"":629}]}}]",x,,"[""Early work on interactive information retrieval, such as Juergen Koenemann and Nicholas J. Belkin's 1996 study of different levels of interaction for automatic query reformulation"", ""Other HCIR research, such as Pia Borlund's IIR evaluation model""]"
37SOB9Z0TWC2XOZMB395BJTADYXL3W,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,3URFVVM16AX9ORR3VQ1HVRQZJJDUZM,worker_249,Submitted,Fri May 19 08:18:52 PDT 2023,Fri May 19 08:19:31 PDT 2023,Mon May 22 08:19:31 PDT 2023,,,,39,100% (194/194),100% (191/191),100% (190/190),104_1,0,CAR_89b60de1e4179304c422dce672387e3ba88620aa,3,"Because of its emphasis in using human intelligence in the information retrieval process, HCIR requires different evaluation models – one that combines evaluation of the IR and HCI components of the system. A key area of research in HCIR involves evaluation of these systems. Early work on interactive information retrieval, such as Juergen Koenemann and Nicholas J. Belkin's 1996 study of different levels of interaction for automatic query reformulation, leverage the standard IR measures of precision and recall but apply them to the results of multiple iterations of user interaction, rather than to a single query response. Other HCIR research, such as Pia Borlund's IIR evaluation model, applies a methodology more reminiscent of HCI, focusing on the characteristics of users, the details of experimental design, etc.",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":350,""label"":""relevant-text-span"",""startOffset"":332},{""endOffset"":376,""label"":""relevant-text-span"",""startOffset"":354},{""endOffset"":671,""label"":""relevant-text-span"",""startOffset"":657}]}}]",x,,"[' Juergen Koenemann', "" Nicholas J. Belkin's "", "" Pia Borlund's""]"
37VE3DA4ZYW5ENK9ZB9D1AYFK91BH6,3I3MQQJ31WXKIN6QF6OQSRUDQS81J6,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 03:52:59 PDT 2023,3,BatchId:5076839;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 03:52:59 PDT 2023,,,3P1L2B7AD64U6XQ2K3YZO6NCMP6LO8,worker_119,Submitted,Fri May 19 11:14:35 PDT 2023,Fri May 19 12:27:33 PDT 2023,Mon May 22 12:27:33 PDT 2023,,,,4378,100% (270/271),100% (179/179),100% (178/178),104_1,0,CAR_e75e52cf36d3124d875c33fd6c999072e2fce6dc,3,"The research in (iv) had a deep impact on the understanding and initial development of a formalism to obtain semantic information when dealing with concepts, their combinations and variable contexts in a corpus of unstructured documents. This conundrum of natural language processing (NLP) and information retrieval (IR) on the web – and data bases in general – can be addressed using the mathematical formalism of quantum theory. As basic steps, (a) the seminal book 'The Geometry of Information Retrieval' by K. Van Rijsbergen introduced a quantum structure approach to IR, (b) Widdows and Peters utilised a quantum logical negation for a concrete search system, and Aerts and Czachor identified quantum structure in semantic space theories, such as latent semantic analysis. Since then, the employment of techniques and procedures induced from the mathematical formalisms of quantum theory – Hilbert space, quantum logic and probability, non-commutative algebras, etc. – in fields such as IR and NLP, has produced significant results.",,Who are some of the well-known Information Retrieval researchers?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":528,""label"":""relevant-text-span"",""startOffset"":511},{""endOffset"":587,""label"":""relevant-text-span"",""startOffset"":580},{""endOffset"":598,""label"":""relevant-text-span"",""startOffset"":592},{""endOffset"":674,""label"":""relevant-text-span"",""startOffset"":669},{""endOffset"":686,""label"":""relevant-text-span"",""startOffset"":679}]}}]",x,,"['K. Van Rijsbergen', 'Widdows', 'Peters', 'Aerts', 'Czachor']"
