HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.turn_id,Input.Q0,Input.passage_id,Input.relevance_score,Input.passage,Input.labels,Input.query,Answer.taskAnswers,Approve,Reject,text_spans_2
3FVBZG9CMNT4U0HZ1VCOHT2WT54H0Q,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,3C2NJ6JBKFW6NQ4I9IGHULOYQFTN2P,worker_297,Submitted,Fri May 19 14:39:10 PDT 2023,Fri May 19 14:40:14 PDT 2023,Mon May 22 14:40:14 PDT 2023,,,,64,100% (182/182),100% (167/167),100% (166/166),102_1,0,CAR_561f6a89cc9c4d925c66c3a139a073ed850c6626,4,"After the 1934 Congressional elections, which gave Roosevelt large majorities in both houses, his administration drafted a fresh surge of New Deal legislation. The most important program of 1935, and perhaps the New Deal as a whole, was the Social Security Act, drafted by Frances Perkins. It established a permanent system of universal retirement pensions (Social Security), unemployment insurance, and welfare benefits for the handicapped and needy children in families without a father present. The United States had been the only modern industrial country where people faced the Depression without any national system of social security, though a handful of states had old age insurance laws. Roosevelt insisted that it should be funded by payroll taxes rather than from the general fund; he said, 'We put those payroll contributions there so as to give the contributors a legal, moral, and political right to collect their pensions and unemployment benefits. With those taxes in there, no damn politician can ever scrap my social security program.' Compared with the social security systems in western European countries, the Social Security Act of 1935 was rather conservative. But for the first time the federal government took responsibility for the economic security of the aged, the temporarily unemployed, dependent children and the handicapped.",2.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":194,""label"":""relevant-text-span"",""startOffset"":190}]}}]",x,,['1935']
3FVBZG9CMNT4U0HZ1VCOHT2WT54H0Q,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,3T111IHZ5J5228H9NYCDDS1MXJI9RJ,worker_132,Submitted,Fri May 19 18:53:33 PDT 2023,Fri May 19 18:54:37 PDT 2023,Mon May 22 18:54:37 PDT 2023,,,,64,100% (80/80),100% (80/80),100% (79/79),102_1,0,CAR_561f6a89cc9c4d925c66c3a139a073ed850c6626,4,"After the 1934 Congressional elections, which gave Roosevelt large majorities in both houses, his administration drafted a fresh surge of New Deal legislation. The most important program of 1935, and perhaps the New Deal as a whole, was the Social Security Act, drafted by Frances Perkins. It established a permanent system of universal retirement pensions (Social Security), unemployment insurance, and welfare benefits for the handicapped and needy children in families without a father present. The United States had been the only modern industrial country where people faced the Depression without any national system of social security, though a handful of states had old age insurance laws. Roosevelt insisted that it should be funded by payroll taxes rather than from the general fund; he said, 'We put those payroll contributions there so as to give the contributors a legal, moral, and political right to collect their pensions and unemployment benefits. With those taxes in there, no damn politician can ever scrap my social security program.' Compared with the social security systems in western European countries, the Social Security Act of 1935 was rather conservative. But for the first time the federal government took responsibility for the economic security of the aged, the temporarily unemployed, dependent children and the handicapped.",2.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":194,""label"":""relevant-text-span"",""startOffset"":190}]}}]",x,,['1935']
3FVBZG9CMNT4U0HZ1VCOHT2WT54H0Q,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,3X0H8UUIT63PFJUUVYMAHMETHM2WS0,worker_173,Submitted,Fri May 19 23:53:03 PDT 2023,Sat May 20 00:01:33 PDT 2023,Tue May 23 00:01:33 PDT 2023,,,,510,100% (156/156),100% (156/156),100% (155/155),102_1,0,CAR_561f6a89cc9c4d925c66c3a139a073ed850c6626,4,"After the 1934 Congressional elections, which gave Roosevelt large majorities in both houses, his administration drafted a fresh surge of New Deal legislation. The most important program of 1935, and perhaps the New Deal as a whole, was the Social Security Act, drafted by Frances Perkins. It established a permanent system of universal retirement pensions (Social Security), unemployment insurance, and welfare benefits for the handicapped and needy children in families without a father present. The United States had been the only modern industrial country where people faced the Depression without any national system of social security, though a handful of states had old age insurance laws. Roosevelt insisted that it should be funded by payroll taxes rather than from the general fund; he said, 'We put those payroll contributions there so as to give the contributors a legal, moral, and political right to collect their pensions and unemployment benefits. With those taxes in there, no damn politician can ever scrap my social security program.' Compared with the social security systems in western European countries, the Social Security Act of 1935 was rather conservative. But for the first time the federal government took responsibility for the economic security of the aged, the temporarily unemployed, dependent children and the handicapped.",2.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":260,""label"":""relevant-text-span"",""startOffset"":160}]}}]",x,,"['The most important program of 1935, and perhaps the New Deal as a whole, was the Social Security Act']"
371QPA24D63U6YTCX8XD9HOU9R5T1F,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,3CP1TO84PYG2X1YC5IKV04OCZUR52F,worker_297,Approved,Fri May 19 14:16:31 PDT 2023,Fri May 19 14:17:21 PDT 2023,Mon May 22 14:17:21 PDT 2023,Mon May 22 05:58:44 PDT 2023,,,50,100% (182/182),100% (167/167),100% (166/166),102_1,0,CAR_edfc23da710b89d10c413ec4a2e1c772cd7fe843,4,"With few exceptions, all legal residents working in the United States now have an individual Social Security number. Indeed, nearly all working (and many non-working) residents since Social Security's 1935 inception have had a Social Security number because it is required to do a wide range of things, e.g. paying the IRS and getting a job.",3.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":206,""label"":""relevant-text-span"",""startOffset"":201}]}}]",x,,['1935 ']
371QPA24D63U6YTCX8XD9HOU9R5T1F,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,3LBXNTKX0WAMZ43LWXI52ANAY0ZX9Z,worker_132,Approved,Fri May 19 18:11:16 PDT 2023,Fri May 19 18:11:55 PDT 2023,Mon May 22 18:11:55 PDT 2023,Mon May 22 05:58:44 PDT 2023,,,39,100% (80/80),100% (80/80),100% (79/79),102_1,0,CAR_edfc23da710b89d10c413ec4a2e1c772cd7fe843,4,"With few exceptions, all legal residents working in the United States now have an individual Social Security number. Indeed, nearly all working (and many non-working) residents since Social Security's 1935 inception have had a Social Security number because it is required to do a wide range of things, e.g. paying the IRS and getting a job.",3.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":205,""label"":""relevant-text-span"",""startOffset"":201}]}}]",x,,['1935']
371QPA24D63U6YTCX8XD9HOU9R5T1F,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,3AUQQEL7UA8CZLADWMYULEPWFLG0V6,worker_173,Approved,Fri May 19 23:09:46 PDT 2023,Fri May 19 23:30:50 PDT 2023,Mon May 22 23:30:50 PDT 2023,Mon May 22 05:58:45 PDT 2023,,,1264,100% (156/156),100% (156/156),100% (155/155),102_1,0,CAR_edfc23da710b89d10c413ec4a2e1c772cd7fe843,4,"With few exceptions, all legal residents working in the United States now have an individual Social Security number. Indeed, nearly all working (and many non-working) residents since Social Security's 1935 inception have had a Social Security number because it is required to do a wide range of things, e.g. paying the IRS and getting a job.",3.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":205,""label"":""relevant-text-span"",""startOffset"":201}]}}]",x,,['1935']
3QX22DUVPSW6FFJQVPGQUR0I4NGVM5,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,308Q0PEVBDSP99EQXBI4Z00VAMGI93,worker_297,Submitted,Fri May 19 15:09:54 PDT 2023,Fri May 19 15:10:56 PDT 2023,Mon May 22 15:10:56 PDT 2023,,,,62,100% (182/182),100% (167/167),100% (166/166),102_1,0,MARCO_4731017,4,"During the Social Security program's start-up period between January 1937 and December 1939, the SSA only made one-time, lump-sum payments. According to SSA historians, Ernest Ackerman was the first recipient of Social Security benefits -- 17 cents, paid to him in January 1937. The first person to receive monthly benefits was Ida May Fuller from Vermont, who retired in November 1939 and started collecting benefits in January 1940 at age 65. In the three years that Fuller worked under the program, she contributed a total of $24.75.",1.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":91,""label"":""relevant-text-span"",""startOffset"":52}]}}]",x,,[' between January 1937 and December 1939']
3QX22DUVPSW6FFJQVPGQUR0I4NGVM5,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,3U84XHCDIHSA7TXOGKAZINS5K8J4Z7,worker_132,Submitted,Fri May 19 17:59:47 PDT 2023,Fri May 19 18:01:08 PDT 2023,Mon May 22 18:01:08 PDT 2023,,,,81,100% (80/80),100% (80/80),100% (79/79),102_1,0,MARCO_4731017,4,"During the Social Security program's start-up period between January 1937 and December 1939, the SSA only made one-time, lump-sum payments. According to SSA historians, Ernest Ackerman was the first recipient of Social Security benefits -- 17 cents, paid to him in January 1937. The first person to receive monthly benefits was Ida May Fuller from Vermont, who retired in November 1939 and started collecting benefits in January 1940 at age 65. In the three years that Fuller worked under the program, she contributed a total of $24.75.",1.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":91,""label"":""relevant-text-span"",""startOffset"":61}]}}]",x,,['January 1937 and December 1939']
3QX22DUVPSW6FFJQVPGQUR0I4NGVM5,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,39K0FND3AMUPABEMAWUWNOIWXEFMA1,worker_173,Submitted,Fri May 19 23:02:17 PDT 2023,Fri May 19 23:24:31 PDT 2023,Mon May 22 23:24:31 PDT 2023,,,,1334,100% (156/156),100% (156/156),100% (155/155),102_1,0,MARCO_4731017,4,"During the Social Security program's start-up period between January 1937 and December 1939, the SSA only made one-time, lump-sum payments. According to SSA historians, Ernest Ackerman was the first recipient of Social Security benefits -- 17 cents, paid to him in January 1937. The first person to receive monthly benefits was Ida May Fuller from Vermont, who retired in November 1939 and started collecting benefits in January 1940 at age 65. In the three years that Fuller worked under the program, she contributed a total of $24.75.",1.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":443,""label"":""relevant-text-span"",""startOffset"":279}]}}]",,The agreement rate not met. None of the text span chosen by you has been selected by other workers.,"['The first person to receive monthly benefits was Ida May Fuller from Vermont, who retired in November 1939 and started collecting benefits in January 1940 at age 65']"
3511RHPAEZTUGQKOMTA1THWQJCDLR0,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,33C7UALJVQDEVYZIKCRK75OY9EG815,worker_297,Approved,Fri May 19 14:40:47 PDT 2023,Fri May 19 14:45:28 PDT 2023,Mon May 22 14:45:28 PDT 2023,Mon May 22 05:58:43 PDT 2023,,,281,100% (182/182),100% (167/167),100% (166/166),102_1,0,MARCO_5163945,4,the act established an independent social security board ssb the very first social security number was issued to john d sweeney jr of new rochelle new york the lowest number ever issued was 001 01 0001 to grace dorothy owen of concord new hampshire monthly benefits did not start until 1942n 1953 the federal security agency was abolished and the social security administration became part of the department of health education and welfare the 1950s also saw important changes to the program benefit levels were increased for the first time by 77 % to provide greater assistance to retired americans,4.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":291,""label"":""relevant-text-span"",""startOffset"":249}]}}]",x,,['monthly benefits did not start until 1942n']
3511RHPAEZTUGQKOMTA1THWQJCDLR0,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,33ISQZVXPU10U4ZTHLW9QN3833FCCU,worker_132,Approved,Fri May 19 18:16:01 PDT 2023,Fri May 19 18:17:31 PDT 2023,Mon May 22 18:17:31 PDT 2023,Mon May 22 05:58:43 PDT 2023,,,90,100% (80/80),100% (80/80),100% (79/79),102_1,0,MARCO_5163945,4,the act established an independent social security board ssb the very first social security number was issued to john d sweeney jr of new rochelle new york the lowest number ever issued was 001 01 0001 to grace dorothy owen of concord new hampshire monthly benefits did not start until 1942n 1953 the federal security agency was abolished and the social security administration became part of the department of health education and welfare the 1950s also saw important changes to the program benefit levels were increased for the first time by 77 % to provide greater assistance to retired americans,4.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":290,""label"":""relevant-text-span"",""startOffset"":286}]}}]",x,,['1942']
31MCUE39CO1MBWLL0CCPYRO2HIB3GA,31S093JAJBQUHC56KZMKN86YWMAWRR,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Sun May 21 11:51:59 PDT 2023,1,BatchId:5077651;OriginalHitTemplateId:929448123;,21600,259200,Wed May 24 11:51:59 PDT 2023,,,3P59JYT76QZ4I3926E2T3KUQF672TF,worker_173,Approved,Sun May 21 20:21:09 PDT 2023,Sun May 21 20:23:43 PDT 2023,Wed May 24 20:23:43 PDT 2023,Mon May 22 06:00:08 PDT 2023,,,154,100% (193/193),100% (193/193),100% (192/192),102_1,0,MARCO_5163945,4,the act established an independent social security board ssb the very first social security number was issued to john d sweeney jr of new rochelle new york the lowest number ever issued was 001 01 0001 to grace dorothy owen of concord new hampshire monthly benefits did not start until 1942n 1953 the federal security agency was abolished and the social security administration became part of the department of health education and welfare the 1950s also saw important changes to the program benefit levels were increased for the first time by 77 % to provide greater assistance to retired americans,4.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[]}}]",,Chosen text spans are too long (longer than half of the passage). The requirements say that text spans should be concise and as short as possible.,[]
3AQN9REUUJVKFF8IN747I0HIDQQYDZ,3W850VB9FWTFT7C8XRO2T6UQ5H81K5,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:01:54 PDT 2023,3,BatchId:5076837;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:01:54 PDT 2023,,,3DY4FPOOA630ZFUCQZH95AQJOBMVR6,worker_297,Submitted,Fri May 19 16:17:59 PDT 2023,Fri May 19 16:19:26 PDT 2023,Mon May 22 16:19:26 PDT 2023,,,,87,100% (182/182),100% (167/167),100% (166/166),102_1,0,MARCO_7574264,4,"A: The term was first used in the U.S. by Abraham Epstein in connection with his group, the American Association for Social Security. Originally, the Social Security Act of 1935 was named the Economic Security Act, but this title was changed during Congressional consideration of the bill.: The first Social Security cards were issued starting in 1936, they did not have this legend. Beginning with the sixth design version of the card, issued starting in 1946, SSA added a legend to the bottom of the card reading FOR SOCIAL SECURITY PURPOSES -- NOT FOR IDENTIFICATION..",0.0,When did social security start in the United States (US)?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":178,""label"":""relevant-text-span"",""startOffset"":173}]}}]",,The agreement rate not met. None of the text span chosen by you has been selected by other workers.,['1935 ']
