HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.turn_id,Input.Q0,Input.passage_id,Input.relevance_score,Input.passage,Input.labels,Input.query,Answer.taskAnswers,Approve,Reject,text_spans_2
33NOQL7TASE83AMW2LVAAFCJ8TXZ8L,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,3C5W7UE9CK516OMFL6MA7WTUY1XMXI,worker_266,Submitted,Sat May 20 07:55:19 PDT 2023,Sat May 20 07:56:01 PDT 2023,Tue May 23 07:56:01 PDT 2023,,,,42,100% (166/166),100% (166/166),100% (165/165),105_1,0,CAR_2b197f6f5f324bdcf294e8723d6eaaf6666b5b9f,4,"In 2013, the movement began with the use of the hashtag #BlackLivesMatter on social media, after the acquittal of George Zimmerman in the shooting death of African-American teen Trayvon Martin. Black Lives Matter became nationally recognized for its street demonstrations following the 2014 deaths of two African Americans: Michael Brown, resulting in protests and unrest in Ferguson, and Eric Garner in New York City. Since the Ferguson protests, participants in the movement have demonstrated against the deaths of numerous other African Americans by police actions or while in police custody. In the summer of 2015, Black Lives Matter activists became involved in the 2016 United States presidential election. The originators of the hashtag and call to action, Alicia Garza, Patrisse Cullors, and Opal Tometi, expanded their project into a national network of over 30 local chapters between 2014 and 2016. The overall Black Lives Matter movement, however, is a decentralized network and has no formal hierarchy.",,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":192,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['In 2013, the movement began with the use of the hashtag #BlackLivesMatter on social media, after the acquittal of George Zimmerman in the shooting death of African-American teen Trayvon Martin']"
33NOQL7TASE83AMW2LVAAFCJ8TXZ8L,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,3180JW2OT9R23XWKC3QNZLAT165J5A,worker_28,Submitted,Fri May 19 19:02:52 PDT 2023,Fri May 19 19:06:43 PDT 2023,Mon May 22 19:06:43 PDT 2023,,,,231,100% (166/166),100% (166/166),100% (165/165),105_1,0,CAR_2b197f6f5f324bdcf294e8723d6eaaf6666b5b9f,4,"In 2013, the movement began with the use of the hashtag #BlackLivesMatter on social media, after the acquittal of George Zimmerman in the shooting death of African-American teen Trayvon Martin. Black Lives Matter became nationally recognized for its street demonstrations following the 2014 deaths of two African Americans: Michael Brown, resulting in protests and unrest in Ferguson, and Eric Garner in New York City. Since the Ferguson protests, participants in the movement have demonstrated against the deaths of numerous other African Americans by police actions or while in police custody. In the summer of 2015, Black Lives Matter activists became involved in the 2016 United States presidential election. The originators of the hashtag and call to action, Alicia Garza, Patrisse Cullors, and Opal Tometi, expanded their project into a national network of over 30 local chapters between 2014 and 2016. The overall Black Lives Matter movement, however, is a decentralized network and has no formal hierarchy.",,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":7,""label"":""relevant-text-span"",""startOffset"":3}]}}]",x,,['2013']
33NOQL7TASE83AMW2LVAAFCJ8TXZ8L,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,34QN5IT0T46EO9E0OTNKT05O4N280W,worker_167,Submitted,Fri May 19 19:34:34 PDT 2023,Fri May 19 19:46:30 PDT 2023,Mon May 22 19:46:30 PDT 2023,,,,716,100% (204/205),100% (166/166),100% (165/165),105_1,0,CAR_2b197f6f5f324bdcf294e8723d6eaaf6666b5b9f,4,"In 2013, the movement began with the use of the hashtag #BlackLivesMatter on social media, after the acquittal of George Zimmerman in the shooting death of African-American teen Trayvon Martin. Black Lives Matter became nationally recognized for its street demonstrations following the 2014 deaths of two African Americans: Michael Brown, resulting in protests and unrest in Ferguson, and Eric Garner in New York City. Since the Ferguson protests, participants in the movement have demonstrated against the deaths of numerous other African Americans by police actions or while in police custody. In the summer of 2015, Black Lives Matter activists became involved in the 2016 United States presidential election. The originators of the hashtag and call to action, Alicia Garza, Patrisse Cullors, and Opal Tometi, expanded their project into a national network of over 30 local chapters between 2014 and 2016. The overall Black Lives Matter movement, however, is a decentralized network and has no formal hierarchy.",,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":7,""label"":""relevant-text-span"",""startOffset"":3}]}}]",x,,['2013']
32TZXEA1PPZAPDEMI7W519C2TSP41V,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,3LRLIPTPEVOUKNEJPKHG8BQS8BUKA8,worker_266,Submitted,Sat May 20 08:05:35 PDT 2023,Sat May 20 08:06:19 PDT 2023,Tue May 23 08:06:19 PDT 2023,,,,44,100% (166/166),100% (166/166),100% (165/165),105_1,0,CAR_6a6e081e7c4a04bcc492cb9ba9afa14b28f02a70,2,"In 2013, Patrisse Cullors, Alicia Garza, and Opal Tometi formed the Black Lives Matter Network. Alicia Garza described the network as an online platform that existed to provide activists with a shared set of principles and goals. Local Black Lives Matter chapters are asked to commit to the organization's list of guiding principles, but operate without a central structure or hierarchy. Alicia Garza has commented that the Network was not interested in 'policing who is and who is not part of the movement.' Currently, there are at least 30 Black Lives Matter chapters in the U.S., England, Canada, Australia, and Ghana.",0.0,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":94,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['In 2013, Patrisse Cullors, Alicia Garza, and Opal Tometi formed the Black Lives Matter Network']"
32TZXEA1PPZAPDEMI7W519C2TSP41V,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,3WS1NTTKE3RN3OONW7TQ3SMARRF0F5,worker_28,Submitted,Fri May 19 19:27:55 PDT 2023,Fri May 19 19:32:09 PDT 2023,Mon May 22 19:32:09 PDT 2023,,,,254,100% (166/166),100% (166/166),100% (165/165),105_1,0,CAR_6a6e081e7c4a04bcc492cb9ba9afa14b28f02a70,2,"In 2013, Patrisse Cullors, Alicia Garza, and Opal Tometi formed the Black Lives Matter Network. Alicia Garza described the network as an online platform that existed to provide activists with a shared set of principles and goals. Local Black Lives Matter chapters are asked to commit to the organization's list of guiding principles, but operate without a central structure or hierarchy. Alicia Garza has commented that the Network was not interested in 'policing who is and who is not part of the movement.' Currently, there are at least 30 Black Lives Matter chapters in the U.S., England, Canada, Australia, and Ghana.",0.0,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":7,""label"":""relevant-text-span"",""startOffset"":3}]}}]",x,,['2013']
32TZXEA1PPZAPDEMI7W519C2TSP41V,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,3PS7W85Z84HFINU1RNH8D724L4HT9I,worker_167,Submitted,Fri May 19 19:37:21 PDT 2023,Fri May 19 19:47:50 PDT 2023,Mon May 22 19:47:50 PDT 2023,,,,629,100% (204/205),100% (166/166),100% (165/165),105_1,0,CAR_6a6e081e7c4a04bcc492cb9ba9afa14b28f02a70,2,"In 2013, Patrisse Cullors, Alicia Garza, and Opal Tometi formed the Black Lives Matter Network. Alicia Garza described the network as an online platform that existed to provide activists with a shared set of principles and goals. Local Black Lives Matter chapters are asked to commit to the organization's list of guiding principles, but operate without a central structure or hierarchy. Alicia Garza has commented that the Network was not interested in 'policing who is and who is not part of the movement.' Currently, there are at least 30 Black Lives Matter chapters in the U.S., England, Canada, Australia, and Ghana.",0.0,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":7,""label"":""relevant-text-span"",""startOffset"":3}]}}]",x,,['2013']
311HQEI8SWV43WHDSG34WFGOX9RZ7Y,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,3R8YZBNQ9MXYCOEGVMPTU60B67W7Q8,worker_266,Submitted,Fri May 19 19:56:58 PDT 2023,Fri May 19 19:58:26 PDT 2023,Mon May 22 19:58:26 PDT 2023,,,,88,100% (166/166),100% (166/166),100% (165/165),105_1,0,CAR_a82037ed2447237c2c6a351837bfc386b3b7f4b1,4,"In the summer of 2013, after George Zimmerman's acquittal for the shooting death of Trayvon Martin, the movement began with the hashtag #BlackLivesMatter. The movement was co-founded by three black community organizers: Alicia Garza, Patrisse Cullors, and Opal Tometi. Garza, Cullors and Tometi met through 'Black Organizing for Leadership & Dignity' (BOLD), a national organization that trains community organizers. They began to question how they were going to respond to what they saw as the devaluation of black lives after Zimmerman's acquittal. Garza wrote a Facebook post titled 'A Love Note to Black People' in which she said: 'Our Lives Matter, Black Lives Matter'. Cullors replied: '#BlackLivesMatter'. Tometi then added her support, and Black Lives Matter was born as an online campaign.",,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":155,""label"":""relevant-text-span"",""startOffset"":0},{""endOffset"":798,""label"":""relevant-text-span"",""startOffset"":551}]}}]",x,,"[""In the summer of 2013, after George Zimmerman's acquittal for the shooting death of Trayvon Martin, the movement began with the hashtag #BlackLivesMatter. "", ""Garza wrote a Facebook post titled 'A Love Note to Black People' in which she said: 'Our Lives Matter, Black Lives Matter'. Cullors replied: '#BlackLivesMatter'. Tometi then added her support, and Black Lives Matter was born as an online campaign.""]"
311HQEI8SWV43WHDSG34WFGOX9RZ7Y,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,3ZV9H2YQQIMLV29F5JL99E6HP4M3WU,worker_28,Submitted,Fri May 19 07:44:02 PDT 2023,Fri May 19 07:47:33 PDT 2023,Mon May 22 07:47:33 PDT 2023,,,,211,100% (166/166),100% (166/166),100% (165/165),105_1,0,CAR_a82037ed2447237c2c6a351837bfc386b3b7f4b1,4,"In the summer of 2013, after George Zimmerman's acquittal for the shooting death of Trayvon Martin, the movement began with the hashtag #BlackLivesMatter. The movement was co-founded by three black community organizers: Alicia Garza, Patrisse Cullors, and Opal Tometi. Garza, Cullors and Tometi met through 'Black Organizing for Leadership & Dignity' (BOLD), a national organization that trains community organizers. They began to question how they were going to respond to what they saw as the devaluation of black lives after Zimmerman's acquittal. Garza wrote a Facebook post titled 'A Love Note to Black People' in which she said: 'Our Lives Matter, Black Lives Matter'. Cullors replied: '#BlackLivesMatter'. Tometi then added her support, and Black Lives Matter was born as an online campaign.",,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":True,""low"":False,""medium"":False,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":21,""label"":""relevant-text-span"",""startOffset"":0},{""endOffset"":98,""label"":""relevant-text-span"",""startOffset"":23}]}}]",x,,"['In the summer of 2013', ""after George Zimmerman's acquittal for the shooting death of Trayvon Martin""]"
311HQEI8SWV43WHDSG34WFGOX9RZ7Y,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,3WI0P0II667E5YUQZEHFZOKCO4ZDR6,worker_167,Submitted,Fri May 19 19:35:12 PDT 2023,Fri May 19 19:46:40 PDT 2023,Mon May 22 19:46:40 PDT 2023,,,,688,100% (204/205),100% (166/166),100% (165/165),105_1,0,CAR_a82037ed2447237c2c6a351837bfc386b3b7f4b1,4,"In the summer of 2013, after George Zimmerman's acquittal for the shooting death of Trayvon Martin, the movement began with the hashtag #BlackLivesMatter. The movement was co-founded by three black community organizers: Alicia Garza, Patrisse Cullors, and Opal Tometi. Garza, Cullors and Tometi met through 'Black Organizing for Leadership & Dignity' (BOLD), a national organization that trains community organizers. They began to question how they were going to respond to what they saw as the devaluation of black lives after Zimmerman's acquittal. Garza wrote a Facebook post titled 'A Love Note to Black People' in which she said: 'Our Lives Matter, Black Lives Matter'. Cullors replied: '#BlackLivesMatter'. Tometi then added her support, and Black Lives Matter was born as an online campaign.",,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":True,""very_high"":False,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":21,""label"":""relevant-text-span"",""startOffset"":7}]}}]",x,,['summer of 2013']
31GECDVAAN1JBMJX7111T3NXXUB66G,3CM00QMEUP11VT7MSBJMCDF20ZWW6T,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"text, text spans, relevance",$0.30,Fri May 19 04:04:19 PDT 2023,3,BatchId:5076836;OriginalHitTemplateId:929448123;,21600,259200,Mon May 22 04:04:19 PDT 2023,,,3WYGZ5XF31UYKJ0D6K37TBKYUFOSKV,worker_266,Submitted,Fri May 19 22:14:06 PDT 2023,Fri May 19 22:51:12 PDT 2023,Mon May 22 22:51:12 PDT 2023,,,,2226,100% (166/166),100% (166/166),100% (165/165),105_1,0,CAR_c337bd9008ecdd55a8ce2f72e8504d3fbfa713e9,3,"In response to the shooting of Trayvon Martin, the Black Lives Matter movement began in 2013, and rapidly expanded in response to subsequent shooting incidents, such as the shooting of Michael Brown. In response to that shooting, protests were held around the country in 2014, most notably in Ferguson, Missouri.",,When did the Black Lives Matter campaign begin?,"[{""answer_confidence"":{""high"":False,""low"":False,""medium"":False,""very_high"":True,""very_low"":False},""passage-snippets-annotation-qualification-task"":{""entities"":[{""endOffset"":94,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['In response to the shooting of Trayvon Martin, the Black Lives Matter movement began in 2013, ']"
